Rank;PrimaryOutcomeMeasure;PrimaryOutcomeTimeFrame;OverallStatus;LastKnownStatus;LastUpdatePostDate
69;Incidence of Bacteriemia in a High Dose Busulfan, Melphalan and Thiotepa Chemotherapy Regimen With Autologous Peripheral Blood Stem Cell Rescue in Patients With High Risk and Relapsed or Refractory Pediatric Solid Tumors;3 months;Terminated,;January 25, 2022
70;To determine the dose limiting toxicity and safety of bi-weekly courses of rBBX-01 in patients with resistant solid tumor malignancies.;Four bi-weekly 5 day courses;Completed,;July 15, 2013
71;To quantify the occurrence of adverse events (AEs) reported in all subjects who received study drug|To determine the occurrence of treatment-emergent adverse events (TEAs)|To determine the occurrence of treatment-related adverse events meeting the criteria for dose limiting toxicities (DLTs);From enrollment up to 30 days after last dose|From first dose up to 30 days after last dose|From first dose up to 28 days;Completed,;March 16, 2022
72;Pharmacodynamic effects as measured by changes in biomarkers in pre- and post-dose tumor and blood specimens;Approximately 1 year;Terminated,;August 26, 2021
73;To determine the maximum tolerated dose of Depakote in combination with liposome encapsulated all-trans retinoic acid (ATRA-IV) in patients with advanced solid tumor malignancies.|To define the dose limiting and other toxicities of the combination therapy|To determine the dosing that should be used in future safety and efficacy (Phase II) trials,;Terminated,;September 14, 2006
74;To determine the safety of MTD/RP2D of single-agent daily ORIN1001 when administered orally in subjects with advanced solid tumors: NCI CTCAEv5 Common Toxicity Criteria|To determine the safety MTD/RP2D of daily ORIN1001 when administered orally in combination with paclitaxel given intravenously at 175 mg/m2 once every three weeks in subjects with relapsed refractory metastatic breast cancer|To evaluate the safety and tolerability of single-agent daily ORIN1001 when administered orally in the dose escalation and expansion stages of the study: NCI CTCAEv5 Common Toxicity Criteria|To evaluate the safety and tolerability of daily ORIN1001 when administered orally in combination with Abraxane given intravenously at 100 mg/m2 once weekly for 3 weeks in the dose escalation and expansion stages of the study;From first dose up to 21 days after last dose|From first dose up to 21 days after last dose|From first dose up to 21 days after last dose|From first dose up to 28 days after last dose;Active, not recruiting,;January 17, 2023
75;Cancer-related mortality after solid organ transplantation;1985-2016 cohort;Unknown status;Not yet recruiting;June 12, 2020
76;Detection by Polymerase Chain Reaction (PCR) of specific genetic alterations|Detection of specific genetic alterations of tumoral cells in peripheral samples;at the inclusion|Up to 6 years;Unknown status;Active, not recruiting;August 10, 2020
77;Number of patients with Adverse Events and/or Serious Adverse Events;18 weeks;Active, not recruiting,;August 24, 2022
78;Determine the safety and tolerability, including the dose limiting toxicity (DLT) and the maximum tolerated dose (MTD), of a 2-day pulse of AC480IV both as monotherapy and in combination with docetaxel in patients with advanced solid tumor malignancies.;18 months;Withdrawn,;November 1, 2015
79;Incidence of adverse events;Up to 6 months;Recruiting,;March 23, 2022
80;Safety of NKTR-214 as Evaluated by Incidence of Drug-related Adverse Events (AEs)|Tolerability of NKTR-214 as Evaluated by Incidence of Dose Limiting Toxicities (DLTs);30 days after last dose, approximately 533 days|30 days after last dose, up to 533 days;Completed,;July 29, 2021
81;To evaluate the safety and tolerability of veliparib/TMZ combination in subjects with solid tumors;Continuous starting with Day1 and 30 Days following last dose.;Completed,;November 21, 2012
82;PFS|OS;1 year|3 years;Completed,;September 14, 2020
83;Ⅰa (Dose-Escalation Stage): Maximum tolerated dose (MTD) for HS-20093|Ⅰb (Dose-Expansion Stage): Objective response rate (ORR) determined by investigators according to Response Evaluation Criteria in Solid Tumors (RECIST) 1.1;Up to day 21 from the first dose|From the first dose up to PD or withdrawal from study, whichever came first, assessed up to 24 months;Recruiting,;February 15, 2023
84;Maximum Tolerated Dose;2 months;Completed,;September 2, 2021
85;Safety and Tolerability - Evaluation of AEs and DLT;Adverse event evaluation was done during treatment and follow-up. DLT evaluation was done during cycle 1;Terminated,;September 11, 2019
86;Documentation of the Quality of CTCs from Patients with Solid Tumors|Documentation of the Characterization of CTCs from Patients with Solid Tumors;Through study completion, an average of 5 years|Through study completion, an average of 5 years;Completed,;September 28, 2022
87;Determination of the MTD of 2X-121 monotherapy.|Determination of the MTD of dovitinib given in combination with 2X-121 (MTD).;Evaluated after up to approximately 2 years|Evaluated after up to approximately 2 years;Recruiting,;February 2, 2023
88;Dose-limiting toxicity (DLT)|Maximum Tolerated Dose (MTD);3 years|3 years;Completed,;April 26, 2017
89;Number of participants with dose limiting toxicities;Up to 2 years;Terminated,;October 2, 2015
90;Safety assessed by Incidence of Treatment-Emergent Adverse Events (AEs) and Serious Adverse Events (SAEs);2 years;Unknown status;Not yet recruiting;November 5, 2019
91;Incidence of treatment-emergent and serious adverse events in patients treated with IO-202 and IO-202 + pembrolizumab|Dose-limiting toxicities (DLTs) with IO-202 and IO-202 + pembrolizumab|Study discontinuations due to adverse events (AEs);From first dose of IO-202 until the end of treatment which is up to 2 years from the first treatment date|From the first dose of IO-202 and IO-202 + pembrolizumab until 21 days after 1st treatment|From the first dose of IO-202 IO-202 and IO-202 + pembrolizumab up to 2 years from the first treatment.;Recruiting,;January 11, 2023
92;To determine the safety of OMP-59R5 in subjects with previously treated solid tumors;continuous;Completed,;September 9, 2020
93;To establish the DLT and the MTD of ridaforolimus administered daily x 5 every 14 days in pediatric patients with recurrent/refractory solid tumors, including lymphoma and tumors of the central nervous system.;Duration of trial;Completed,;February 13, 2015
94;Pharmacodynamic optimal dose of sirolimus by evaluation of p70s6 kinase inhibition in peripheral blood mononuclear cells (PBMC) and normal skin|Correlation of target tissue inhibition in tumor tissue with PMBCs and normal skin,;Completed,;August 9, 2010
95;To establish the safety, tolerability, and recommended Phase 2 dose of KW 2450 administered orally in subjects with advanced solid tumor who have not responded to standard therapy or for whom no standard therapy is available;28 days;Completed,;September 10, 2010
96;Number of participants experiencing toxicities|Maximum tolerated dose (MTD);3 years|2 years;Completed,;December 8, 2022
97;Objective response rate assessed by Independent Review Committee per Response Evaluation Criteria in Solid Tumors Version 1.1;Up to 2 years;Recruiting,;December 15, 2022
98;Maximum tolerated dose of HLX20 in solid tumors patients;1 year;Completed,;June 3, 2022
99;To define the maximum tolerated dose and dose-limiting toxicities of temsirolimus in combination with erlotinib in patients with resistant solid malignancies.|To determine the incidence and severity of other toxicities of temsirolimus in combination with erlotinib in patients with resistant solid malignancies.;3 years for MTD to be determined, DLT occurs in 1st cycle only|30 days after end of treatment;Completed,;June 3, 2015
100;PFS|OS;2 year|3 years;Completed,;May 28, 2020
101;To determine the safety of OMP-18R5 in subjects with previously treated solid tumors;Subjects will be assessed for dose limiting toxicity from Days 0-28. Adverse events will be reported through 30 days after the last dose.;Completed,;September 9, 2020
102;The Incidence of Dose Limiting Toxicities (DLT) in Phase I Dose Escalation;14 Days (1 cycle);Completed,;November 23, 2016
103;The primary outcome is to determine the safety and toxicity of ixabepilone and dasatinib in combination in patients with metastatic or locally advanced/unresectable solid tumors that have progressed through standard therapy.;From study start until completion of study followup. This can vary greatly between patients, but on average patients received treatment for 4 cycles (12 weeks).;Completed,;August 5, 2020
104;Explore the safety and tolerability of multiple ascending doses (MAD) of AZD8931 in patients with advanced solid malignancies, by assessment of AEs, lab findings, physical examinations, vital signs, cardiac monitoring and ophthalmological examinations,;Completed,;March 12, 2013
105;Feasibility and safety of temsirolimus and pazopanib when given in combination to patients with advanced solid tumors.;Every 4 weeks (Cycle);Completed,;March 28, 2012
106;Dose limiting toxicities (DLTs) of the combination of LDE225 with paclitaxel in patients with advanced solid tumors;until up to 4 weeks after start of trial therapy;Completed,;December 6, 2019
107;MTD and / or a RP2D of EVT801 when administered daily to subjects with advanced or metastatic solid tumours.|Adverse event (AE) safety information for EVT801;24 months|36 months;Recruiting,;April 7, 2022
108;Number and grade of adverse events by participant related to PDM08.|Dose limiting toxicity (DLT);6 weeks for each cohort.|6 weeks.;Completed,;January 7, 2013
109;To determine the pharmacokinetics (PK) of erlotinib when administered in combination with sorafenib on a continuous schedule in Refractory Solid Tumors in patients who are smokers and in patients who are nonsmokers.;3 months;Completed,;July 2, 2014
110;The maximum tolerate dosage;4 weeks;Unknown status;Recruiting;October 21, 2010
111;Number of patients experiencing Dose Limiting Toxicity graded according to CTCAE Version 4.03, observed in the Cycle 1 in order to meet the objective of assessment of the MTD of TAS0728.|Incidence of Treatment-Emergent Adverse Events [Safety and Tolerability] (Phase 1 and 2)|Objective Response Rate using Response Evaluation Criteria in Solid Tumors 1.1 (RECIST) (Phase2);21-day cycles|Safety monitoring will begin at the informed consent obtained and continue up to 30 days after the last dose of TAS0728 or until new antitumor therapy, whichever is earlier.|3 years;Terminated,;March 20, 2023
112;Investigate the feasibility of anti-tumor immune response by allogeneic tumor cell vaccine using tumor cells that share MHC determinants with the patient.,;Withdrawn,;April 8, 2011
113;Recommended Phase 2 Dose;Baseline to toxicity [up to end of Cycle 1 (cycle = 21 or 28 days)];Completed,;March 15, 2019
114;Incidence of dose-limiting toxicity within 2 days of single administration and 28 days of continuous administration.|Determine the recommended phase II dose;From first dose up to 28 days|From first dose up to 28 days;Recruiting,;January 28, 2022
115;Dose Limiting Toxicity (DLT) and Maximum Tolerated Dose (MTD);31 months;Completed,;May 2, 2017
116;Safety (Phase 1) - Dose-limiting toxicities including incidence of Treatment-Emergent Adverse Events|Efficacy (Phase 2) - Response Evaluation Criteria in Solid Tumors using RECIST v1.1;End of each dosing cycle (Day 21 of 21-day cycle)|Baseline to measured progressive disease or start of new anticancer therapy, through study completion, an average of 6 months to 1 year;Recruiting,;March 6, 2023
117;Number of patients with adverse events;3 years;Recruiting,;June 16, 2020
118;To assess the safety and tolerability of intravenously infused CCI-001 in patients with recurrent and/or metastatic solid tumours by determining the dose-limiting toxicity (DLT) of the compound.|To determine, during the dose escalation phase, the recommended dose of intravenously infused CCI-001 for the dose expansion phase of the trial.;Cycle 1 (28 days)|Cycle 1 (28 days);Recruiting,;July 14, 2022
119;To determine the safety and tolerability of AZD2281 in combination with Cisplatin (eg Adverse Events, Pharmacokinetic for AZD2281, overall response rate) to patients with advanced solid tumours.;Weekly visits for routine monitoring visits;Active, not recruiting,;March 22, 2023
120;The rate of toxicities after TAA-T infusion;45 days;Recruiting,;October 26, 2022
121;Dose-limiting toxicities (DLT) and/or subsequent maximum dose|Dose at which there is no additional differential effect of L-NNA on the tumor vasculature as measured by dynamic contrast-enhanced computed tomography (DCE-CT)|Pharmacokinetic (predominantly AUC-dependent specific vascular effects) dependent effects (duration and magnitude of effect on blood flow/volume) in the tumor tissue compared to renal tissue using data from volumetric assessments via DCE-CT,;Terminated,;March 5, 2015
122;maximum tolerated dose;1-3 months;Completed,;December 22, 2021
123;Number of patients experiencing Dose Limiting Toxicity graded according to CTCAE Version 4.03, observed in the Cycle 1 in order to meet the objective of assessment of the MTD of TAS-116 (Part A)|Incidence of Treatment-Emergent Adverse Events [Safety and Tolerability] (Parts A, B and C)|Objective Response Rate using Response Evaluation Criteria in Solid Tumors 1.1 (RECIST) (Part C);21 days in Cycle 1|Safety monitoring will begin at the informed consent obtained and continue up to 28 days after the last dose of TAS-116 or until new anti-tumor therapy, whichever is earlier.|Up to 2 Years;Completed,;October 1, 2019
124;To identify the Maximum Tolerated Dose (MTD) of PQR309 administered in different (continuous and intermittent) dosing schedules. To evaluate efficacy of PQR309 in selected patient population: • Solid tumors with PI3K/mTOR activation • Human Papilloma|Objective response rate (ORR) according to the response evaluation• Solid tumors with PI3K/mTOR activation • Human Papilloma Virus (HPV) positive Head and neck squamous cell carcinoma (HNSCC) containing activating PIK3CA mutations;In average 1 year|in average 2 years;Completed,;March 22, 2019
125;• To determine the safety of OMP-54F28 in subjects with previously treated solid tumors;Subjects will be assessed for dose limiting toxicities from Days 0-28. Adverse events will be reported through 30 days after the last dose.;Completed,;August 11, 2020
126;Incidence of treatment-related adverse events as assessed by CTCAE v4.0;2 years;Unknown status;Recruiting;June 9, 2017
127;Complete evaluation of untreated lesions with physical examination and appropriate X-rays and/or scans will be performed four to six weeks after the last DC injection.|Immunological evaluation will be performed two weeks after the last DC injection.,;Terminated,;April 21, 2015
128;Toxicity;Cycle 1 1st MoAb tx (Day 7), then Day 1 of ea subsequent cycle;Completed,;June 28, 2016
129;Adverse Events|Objective Response Rate (ORR)|Disease Control Rate (DCR）|Duration of Response (DOR)|Progression-Free Survival (PFS)|Overall Survival (OS);6 months|Up to 36 months|Up to 36 months|Up to 36 months|Up to 36 months|Up to 36 months;Recruiting,;December 22, 2022
130;Dose escalation： MTD determination|Cohort expansion：Preliminary assessment of change in tumor size;DLT evaluation period, defined as from the first ERY974 injection until 7 days after the third injection|From the date of informed consents obtained until disease progression: at screening , week 6,12,18 and subsequently every 3 months up to 38 months;Completed,;August 22, 2019
131;To obtain blood samples, ascites and pleural effusion samples from patients with solid tumor malignancies, with the intent of performing translational studies related to cancer.;Ongoing;Active, not recruiting,;January 20, 2023
132;Phase 1 Safe and Tolerable Phase 2 Dose.|Phase 2 Objective Response Rate (Partial Response (PR) + Complete Response (CR)).|Number of Participants With Adverse Events;1 year|up to 18 weeks|31.5 months;Completed,;October 19, 2015
133;Number of Patients with Dose Limiting Toxicity;three months;Recruiting,;February 14, 2023
134;Safety profile of OMP-52M51 in subjects with relapsed or refractory solid tumors;Subjects will be assessed for DLTs from Days 0-29. Adverse events will be reported through 30 days after the last dose;Completed,;August 11, 2020
